h,a,y,relative_error
3.25,1.69313e0,2.885125183072742377687252962984047455161722776476243867263289013361216440323656490555695104310553435768562285384544375231448636868699457939341595028123e-4,1.00103e-8
3.25,2.12260e0,2.885125211950948416168197041016853792042794592454884316612550489656514401501454843471627052162674253957384417229463531573917840379812298192192134562055e-4,1.00058e-12
3.25,2.48430e0,2.885125211953834925739026117194091342640873825936356682429959865645154789637371612423656284894977898853752778402910936333747812444642225735477178023161e-4,1.00115e-16
3.25,2.80258e0,2.885125211953835214555719568638228608280230283034886523274173358709796551183459555146393501550015398809858196862054127149635953251537237761158698276659e-4,1.00089e-20
3.25,3.08992e0,2.885125211953835214584593680159372707154018992006950479580684957571072872776606264788108009776424054637563010210874208318659814083140064052451709197183e-4,1.00207e-24
3.25,3.35389e0,2.88512521195383521458459657096554473280072323827635384833895040530910285873438028348123232943166227843384928167890304651369488973920230677887774816826e-4,1.00135e-28
3.25,3.59931e0,2.885125211953835214584596571254417215176725458588704942999948883950404518019987849518590999587892131204801705387914278907399373745920711696308124404809e-4,1.00136e-32
3.25,3.82955e0,2.885125211953835214584596571254446102907183474149921015633166978763611142173576118602615630632647968234884497251202861416362037012171593218299299988814e-4,1.00302e-36
3.25,4.04718e0,2.885125211953835214584596571254446105800738722064883609462832225408508537289873163152295379930618246118784908349823050478812417215903730813374857576617e-4,1.00315e-40
3.5,1.57701e0,1.163145383533330578510006172907158102198515462842726830460940328199590408111534751571640498328745070330158358611186012168396248407808857435798261672775e-4,1.00110e-8
3.5,1.97531e0,1.163145395176460160331133465726873872467138730535749306186655165655711451280851423245344621836382719076651134031694989212648089394875542665459197322037e-4,1.00161e-12
3.5,2.31083e0,1.163145395177625065261944596843338776502380435434172936705994378979361015922544663868170163828635816502346558740097899628575104834855299664897943143196e-4,1.00149e-16
3.5,2.60610e0,1.163145395177625181737993257632959221867844505841696381632535090542657524439085082433606848754735405877486987097830174934910931924036172506380722197401e-4,1.00041e-20
3.5,2.87270e0,1.163145395177625181749628270377035760784495398296861171441208573900139323881993689513305425975042149734622817348230333036155313730203806556271543851497e-4,1.00010e-24
3.5,3.11754e0,1.16314539517762518174962943352337125011540518100936038102113609595175945754257936843399737392175931686370733339498656388262158965644637854552448296063e-4,1.00205e-28
3.5,3.34528e0,1.163145395177625181749629433639912228847379261600686026407916930176384132843012438487864462511668033784260796908981438252377024008904011325261371044409e-4,1.00064e-32
3.5,3.55894e0,1.163145395177625181749629433639923866578516269204931915984323418023609603406668860253207961788754815695145952730771201750671048598769668505612360658821e-4,1.00179e-36
3.5,3.76088e0,1.163145395177625181749629433639923867743630099284487971538233207845944032334264370371020457145436835744804284514178154860521668577800763004776959892278e-4,1.00228e-40
3.75,1.47598e0,4.420864215831438205090905178381982605974781933122368893338518640939020082445260245336200492511546962460178965113978562290008281449513948904607549549286e-5,1.00000e-8
3.75,1.84733e0,4.420864260035765408803726076734483175629877120930473910386449905595460555737786022558722318633697451435123207780012252884352101263081732066722009263693e-5,1.00161e-12
3.75,2.16022e0,4.420864260040192948705820112705793929791080558376837337424604444207460006039610214194637802382256927361609875117373800267748061676734105519342993060435e-5,1.00022e-16
3.75,2.43548e0,4.420864260040193390843449150703873995311365951355598044630805489522189131183911678829049031754154334719908673765915174278982972764991083053909188016242e-5,1.00171e-20
3.75,2.68411e0,4.420864260040193390887729025424503314838330832520014082798150739879400347217984736666134987513329907034712498330447613474720043885935856314147852219306e-5,1.00114e-24
3.75,2.91250e0,4.420864260040193390887733450882457441926661625788257064923962805901163973674930555099589560277530097606523695391342357333625305858214790863395555044988e-5,1.00141e-28
3.75,3.12487e0,4.420864260040193390887733451325122456182144465628597081873055740216124632950866996323030440674815755302139703031383992751839850284690043159159294200017e-5,1.00215e-32
3.75,3.32422e0,4.420864260040193390887733451325166755379772696665645245955691727091160682734290167410611865732552120850346051108511254991300834263199468793413087123292e-5,1.00048e-36
3.75,3.51257e0,4.420864260040193390887733451325166759802307970389741845058745528934830829664230215068788723944986382926099618434144141878595944472831548144631984208123e-5,1.00190e-40
4,1.38715e0,1.583562075813974221830085368453108657471740467269349670738270923613277210789283953605980393481911704093310979728627132528160467968691848289129080906402e-5,1.00040e-8
4,1.73505e0,1.583562091654409763345009633358996233479202535033003706152571295816454911244226801041686383522311044853955809364281020322336576423401715529917330874039e-5,1.00173e-12
