h,a,T
0.001953125,5.75,0.22259323524087664630056305047650306096609939797374198532357294702785177636
0.001953125,6,0.22371395028317539119326130202232426131935747376595164439588091515066204402
0.001953125,6.25,0.22474733352609276697324612892436696982509705633025049007527790843272681021
0.001953125,6.5,0.22570313168885801854915029854824539836105830519380025842544519325816747761
0.001953125,6.75,0.22658970369299020835767898575556828097900933178066849064949278445747231317
0.001953125,7,0.22741425743695042215625922787278059699543917420366871778079484787088327207
0.001953125,7.25,0.22818304002797800495269943966145327985777720445148541870588167486848615385
0.001953125,7.5,0.22890149173373741379512466070086672268943716286760076961486410550733025571
0.001953125,7.75,0.22957437142674685285891335114664049603572257944481426652580043060704850781
0.001953125,8,0.23020585945973527140818435811049466009973807733188823149553529750278689072
0.001953125,8.25,0.23079964254547581818784377576115598854401591408867671773113088157115097127
0.001953125,8.5,0.2313589841909333071982270934158473030784894204184726006581269861891640418
0.001953125,8.75,0.23188678346123225010999752136430706320033360377803065408733678795677683669
0.001953125,9,0.23238562425864538399331327614084422062342065034127073131801271305423189435
0.001953125,9.25,0.23285781684842090660183874065308898230532452488008278659937775112109735582
0.001953125,9.5,0.23330543301257219275690635562793972828851308552567686145019692632758344355
0.001953125,9.75,0.23373033593965190010514942487820748241254754010882113837538013513984300112
0.001953125,10,0.23413420574448368940250385116130305216248422929631153074600666192892965582
0.001953125,10.25,0.23451856134302878756458050764367176597316840702195453564258286365127052192
0.001953125,10.5,0.23488477927367376618632809106151215466625663850804734258952855924662097165
0.001953125,10.75,0.23523410994942773437793666518174241650178309367769192282917849808253171428
0.001953125,11,0.23556769173987396411575089328552484654930900638495298971027245509178616434
0.001953125,11.25,0.23588656321269122829912778269702067861151432029135032356858582831441183687
0.001953125,11.5,0.23619167380864895473495742155702157128014637956826122521506908380774102242
0.001953125,11.75,0.23648389317848252325098185176290915560433859715766570899433939390167456495
0.001953125,12,0.23676401937286502750327427939975321271462262944217711270392501133028747876
0.001953125,12.25,0.23703278604616179663321118205822433407574414416437705045329242932583854116
0.001953125,12.5,0.23729086880948775969583159908259964794015700436672541394332881837949999253
0.001953125,12.75,0.2375388908477607033663669083084942170299628849996983884440042367894415314
0.001953125,13,0.23777742789814176966946600963542659645745377140989237509488605130762581507
0.001953125,13.25,0.2380070126728287689000027885343141888609260240409731883884456245737759706
0.001953125,13.5,0.23822813879709758128086699705362942168623117704707443253838044456175391241
0.001953125,13.75,0.23844126432335318738298462819783379611228428137271701624596147400169054757
0.001953125,14,0.23864681487341616026781598207544614204419851092050027544871542949800904448
0.001953125,14.25,0.23884518645405809291009097266644728551990069131931476987571715319845069505
0.001953125,14.5,0.23903674798468670984327243515866337746275480744154557664723710385345783891
0.001953125,14.75,0.23922184357088544800811279149437112725793754582877430814709570314314338856
0.001953125,15,0.23940079455308306663571279265205627194983998080006976205645158833353044899
0.001953125,15.25,0.23957390135584286570787346383966373993601319769891037949033560224544248548
